symbol,recommended_tier,in_core25_pinned,in_scanner_24h,latest_status,seen_delisted,latest_is_delisted_at_asof,statuses,listed_at,delisted_at,first_seen_ts,last_seen_ts,alive_from,alive_to,alive_days_in_18mo_window,turnover_24h,last_price,base_coin,quote_coin,contract_type,tick_size,qty_step,min_notional,latest_snapshot_ts,source_uri
SPELLUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2021-12-13 02:21:09+01,2026-04-09 08:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-04-09 08:00:00+02,494.349,,,SPELL,USDT,LinearPerpetual,0.0000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
STMXUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2022-03-28 09:07:55+02,2025-02-23 11:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-02-23 11:00:00+01,84.515,,,STMX,USDT,LinearPerpetual,0.000001,5,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
STPTUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-10-03 11:46:17+02,2025-05-17 09:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-05-17 09:00:00+02,167.390,,,STPT,USDT,LinearPerpetual,0.00001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SUNDOGUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-08-26 09:28:46+02,2025-11-26 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-11-26 10:00:00+01,360.474,,,SUNDOG,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SWEATUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2022-11-03 16:10:53+01,2025-10-26 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-26 10:00:00+01,329.474,,,SWEAT,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SWELLUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-11-07 11:19:24+01,2025-10-21 16:30:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-21 16:30:00+02,324.703,,,SWELL,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SXPUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2021-12-08 04:01:21+01,2026-04-03 08:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-04-03 08:00:00+02,488.349,,,SXP,USDT,LinearPerpetual,0.000001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SYNUSDT,historical_delisted_18mo,f,f,Closed,t,t,"Closed,Trading",2024-08-20 11:28:33+02,2026-05-08 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-08 11:00:00+02,523.474,,,SYN,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SYSUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-08-20 11:31:20+02,2026-04-03 08:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-04-03 08:00:00+02,488.349,,,SYS,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
TAIUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-11-14 08:55:15+01,2026-03-19 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-03-19 10:00:00+01,473.474,,,TAI,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
TANSSIUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-07-09 14:10:34+02,2025-10-21 16:15:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-07-09 14:10:34+02,2025-10-21 16:15:00+02,104.086,,,TANSSI,USDT,LinearPerpetual,0.00001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
TOKENUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-11-03 12:41:41+01,2025-10-21 16:15:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-21 16:15:00+02,324.692,,,TOKEN,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
TROYUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-11-13 09:26:03+01,2025-04-14 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-04-14 11:00:00+02,134.474,,,TROY,USDT,LinearPerpetual,0.0000001,100,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
TRUUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-03-09 07:27:02+01,2026-04-30 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-04-30 11:00:00+02,515.474,,,TRU,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
UROUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-12-13 08:48:49+01,2025-03-06 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-12-13 08:48:49+01,2025-03-06 10:00:00+01,83.049,,,URO,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
UXLINKUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-07-19 11:35:21+02,2025-09-26 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-09-26 11:00:00+02,299.474,,,UXLINK,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VFYUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-09-30 14:27:16+02,2026-03-27 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-09-30 14:27:16+02,2026-03-27 10:00:00+01,177.856,,,VFY,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VICUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-03-13 08:58:08+01,2026-01-29 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-03-13 08:58:08+01,2026-01-29 10:00:00+01,322.043,,,VIC,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VIDTUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-08-26 08:53:55+02,2025-04-16 05:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-04-16 05:00:00+02,136.224,,,VIDT,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VOXELUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-08-21 12:21:54+02,2025-10-30 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-30 10:00:00+01,333.474,,,VOXEL,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VRAUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-10-03 12:54:45+02,2025-05-12 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-05-12 11:00:00+02,162.474,,,VRA,USDT,LinearPerpetual,0.000001,100,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VRUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-01-16 10:29:37+01,2025-10-17 15:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-01-16 10:29:37+01,2025-10-17 15:00:00+02,274.146,,,VR,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
VTHOUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-02-19 04:58:26+01,2025-10-10 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-10 11:00:00+02,313.474,,,VTHO,USDT,LinearPerpetual,0.000001,100,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
XCHUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-05-27 10:03:41+02,2026-03-19 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-03-19 10:00:00+01,473.474,,,XCH,USDT,LinearPerpetual,0.001,0.01,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
XEMUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2021-11-30 07:13:44+01,2025-10-06 12:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-06 12:00:00+02,309.515,,,XEM,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
XNOUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2022-09-02 02:00:00+02,2026-01-24 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-01-24 10:00:00+01,419.474,,,XNO,USDT,LinearPerpetual,0.0001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
XRDUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-12-12 07:05:16+01,2025-07-11 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-07-11 11:00:00+02,222.474,,,XRD,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
XTERUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-03-06 08:26:04+01,2025-10-18 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-03-06 08:26:04+01,2025-10-18 11:00:00+02,226.065,,,XTER,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
